high,low,code,price
14650,7950,267850,11300
12415,6685,269370,9550
12705,6845,269420,9775
12700,6840,269530,9770
13920,7500,269540,10710
13445,7245,270800,10345
15085,8125,270810,11605
11035,5945,271060,8490
14740,7940,272220,11340
13310,7170,272230,10240
11400,6140,275280,8770
11115,5985,275290,8550
10640,5730,275300,8185
17580,9470,275540,13525
9925,5345,275750,7635
13630,7340,275980,10485
13610,7330,276000,10470
13745,7405,276650,10575
11905,6415,276970,9160
12060,6500,276990,9280
12385,6675,277540,9530
13115,7065,277640,10090
15990,8610,277650,12300
11405,6145,278420,8775
10760,5800,278530,8280
10540,5680,278540,8110
11255,6065,279530,8660
11660,6280,279540,8970
14940,8050,280320,11495
10240,5520,280920,7880
12405,6685,280930,9545
13130,7070,280940,10100
13150,7150,281820,10150
11690,6300,281990,8995
16700,9000,282690,12850
10170,5480,283580,7825
10350,5580,283930,7965
12765,6875,284430,9820
11190,6030,284980,8610
11280,6080,284990,8680
11165,6015,285000,8590
13425,7235,285010,10330
10325,5565,285020,7945
11295,6085,285690,8690
13075,7045,287180,10060
15150,8160,287300,11655
10885,5865,287310,8375
11990,6460,287320,9225
11710,6310,287330,9010
10415,5615,289040,8015
10215,5505,289250,7860
10075,5425,289260,7750
12685,6835,289480,9760
13420,7230,290080,10325
10880,5860,290130,8370
11920,6420,291130,9170
9365,5045,291610,7205
17000,9160,291620,13080
15105,8135,291660,11620
14670,7900,291680,11285
10645,5735,291890,8190
16320,8790,292050,12555
10120,5450,292100,7785
11375,6125,292110,8750
10910,5880,292120,8395
10465,5635,292130,8050
11425,6155,292140,8790
10240,5520,292150,7880
16190,8720,292160,12455
16320,8790,292190,12555
16315,8785,292500,12550
13425,7235,292560,10330
12665,6825,292580,9745
16305,8785,292730,12545
16285,8775,292750,12530
11190,6030,295040,8610
11430,6160,295820,8795
11035,5945,295840,8490
10840,5840,295860,8340
11060,5960,295880,8510
11250,6060,295890,8655
11360,6120,296710,8740
11065,5965,298770,8515
11440,6160,300280,8800
12235,6595,300290,9415
10625,5725,300300,8175
11510,6200,300310,8855
11060,5960,300610,8510
11420,6150,300640,8785
12310,6630,300950,9470
14995,8075,301400,11535
15030,8100,301410,11565
11660,6280,301440,8970
13245,7135,304660,10190
12710,6850,304670,9780
16275,8765,304760,12520
15015,8085,304770,11550
20320,5080,304780,12700
11100,5980,304940,8540
13355,7195,305080,10275
10540,5680,305540,8110
11450,6170,305720,8810
13370,7200,306960,10285
13395,7215,307020,10305
12925,6965,307510,9945
14345,7725,307520,11035
13335,7185,307620,10260
13295,7165,308620,10230
13140,7080,309170,10110
13035,7025,309180,10030
14700,7920,309190,11310
14310,7710,309200,11010
14630,7880,309210,11255
12440,6700,309230,9570
12855,6925,310080,9890
17535,9445,310960,13490
13160,7090,310970,10125
13075,7045,314250,10060
13205,7115,314700,10160
12900,6950,500001,9925
11185,6025,500002,8605
13945,7515,500003,10730
9995,5385,500004,7690
11860,6390,500005,9125
11970,6450,500006,9210
12145,6545,500007,9345
12720,6850,500008,9785
17975,9685,500009,13830
13335,7185,500011,10260
12575,6775,500012,9675
16795,9045,500014,12920
9630,5190,500015,7410
13640,7350,500016,10495
12070,6500,500017,9285
15560,8380,500018,11970
29420,7360,500020,18390
13100,7060,500022,10080
10705,5765,500023,8235
15145,8155,500024,11650
14240,7670,500025,10955
11490,6190,500026,8840
20165,5045,500030,12605
24830,6210,500031,15520
13140,7080,500039,10110
13290,7160,510001,10225
12245,6595,510002,9420
14070,7580,510003,10825
14660,7900,510004,11280
12115,6525,510006,9320
14180,7640,510008,10910
11295,6085,510009,8690
28135,7035,510010,17585
11515,6205,520003,8860
17845,9615,520006,13730
30915,7735,520009,19325
18375,9895,520011,14135
14650,7890,520012,11270
15680,8450,520013,12065
17560,9460,520014,13510
17595,9475,520015,13535
13400,7220,520020,10310
13355,7195,520021,10275
10935,5895,520024,8415
13360,7200,520026,10280
16805,9055,530005,12930
10775,5805,530007,8290
11730,6320,530008,9025
10610,5720,530009,8165
10730,5780,530011,8255
15500,8350,530012,11925
13975,7525,530013,10750
14760,7950,530014,11355
16020,8630,530015,12325
15505,8355,530016,11930
15605,8405,530017,12005
14765,7955,530018,11360
15630,8420,530019,12025
14960,8060,530020,11510
15115,8145,530021,11630
14305,7705,530022,11005
38065,9525,530023,23795
20670,5170,530031,12920
11430,6160,530032,8795
11645,6275,530033,8960
24735,6195,530037,15465
12135,6535,530046,9335
12075,6505,530047,9290
12170,6560,530048,9365
12155,6545,530049,9350
15105,8135,530050,11620
13980,7530,530051,10755
13095,7055,530053,10075
31100,7780,530055,19440
32520,8140,530056,20330
12465,6715,530057,9590
12210,6580,530058,9395
13445,7245,530059,10345
13370,7200,530060,10285
13715,7385,550001,10550
12270,6610,550002,9440
14410,7760,550003,11085
11940,6430,550004,9185
15190,8180,550005,11685
13705,7385,550007,10545
15760,8490,550008,12125
10890,5870,550010,8380
12905,6955,550011,9930
12830,6910,550013,9870
10685,5755,550015,8220
13545,7295,550016,10420
15150,8160,550019,11655
9990,5380,550021,7685
11085,5975,550023,8530
11325,6105,550024,8715
9395,5065,550025,7230
13810,7440,550026,10625
11950,6440,550029,9195
9850,5310,550030,7580
11745,6325,550031,9035
10045,5415,550032,7730
13435,7235,550033,10335
15435,8315,550041,11875
36220,9060,550046,22640
28695,7175,550047,17935
12060,6500,550048,9280
12060,6500,550049,9280
17710,9540,550050,13625
11605,6255,550052,8930
14225,7665,550053,10945
13360,7200,550056,10280
13110,7060,550057,10085
12440,6700,570003,9570
12730,6860,570008,9795
11905,6415,570009,9160
11880,6400,570010,9140
13900,7490,570012,10695
12120,6530,570013,9325
13680,7370,570014,10525
13240,7130,570015,10185
13980,7530,570019,10755
11540,6220,570020,8880
15460,8330,570021,11895
9820,5290,570024,7555
13400,7220,570025,10310
14500,7810,570028,11155
13370,7200,570029,10285
13740,7400,570030,10570
13205,7115,580006,10160
16735,9015,580007,12875
13075,7045,580008,10060
14245,7675,590003,10960
14010,7550,590004,10780
15890,8560,590005,12225
15285,8235,590006,11760
16800,9050,590007,12925
15795,8505,590008,12150
23695,5935,590010,14815
10015,5395,590011,7705
12790,6890,590012,9840
12375,6665,590013,9520
15135,8155,590016,11645
14765,7955,590017,11360
10500,5660,590018,8080
13005,7005,700001,10005
